saat,fee_1.31e-11,fee_1.59e-11,fee_2.49e-11
0.0,0.0,0.0,0.0
0.025,1.17900375,1.4310037500000001,2.24100375
0.05,2.3580149999999995,2.862015,4.482015
0.075,3.537033750000001,4.293033750000002,6.723033750000001
0.1,4.71606,5.724060000000001,8.96406
0.125,5.89509375,7.155093750000001,11.20509375
0.15,7.074135000000002,8.586135000000004,13.446135000000002
0.175,8.253183750000002,10.017183750000003,15.687183750000004
0.2,9.43224,11.448240000000002,17.92824
0.225,10.61130375,12.87930375,20.16930375
0.25,11.790375000000001,14.310375,22.410375000000002
0.275,12.969453750000001,15.741453750000003,24.651453750000005
0.3,14.148540000000004,17.172540000000005,26.892540000000004
0.325,15.327633749999999,18.60363375,29.13363375
0.35,16.506735000000003,20.034735000000005,31.374735000000005
0.375,17.68584375,21.46584375,33.615843749999996
0.4,18.86496,22.896960000000004,35.85696
0.425,20.044083750000002,24.328083750000008,38.09808375000001
0.45,21.223215,25.759215,40.339215
0.475,22.402353750000003,27.190353750000007,42.58035375000001
0.5,23.5815,28.621499999999997,44.8215
0.525,24.76065375,30.052653749999998,47.062653749999996
0.55,25.939815000000003,31.483815000000003,49.30381500000001
0.575,27.118983750000005,32.91498375000001,51.54498375000001
0.6,28.298160000000006,34.34616000000001,53.78616000000001
0.625,29.47734375,35.77734375,56.02734375
0.65,30.656534999999995,37.208535,58.268535
0.675,31.835733749999996,38.63973375,60.50973375
0.7,33.01494,40.07094000000001,62.750940000000014
0.725,34.194153750000005,41.50215375000001,64.99215375000001
0.75,35.373374999999996,42.933375000000005,67.233375
0.775,36.55260375,44.36460375000001,69.47460375
0.8,37.73184,45.795840000000005,71.71584
0.825,38.91108375,47.22708375000001,73.95708375000002
0.85,40.09033500000001,48.658335000000015,76.19833500000001
0.875,41.26959375,50.089593750000006,78.43959375
0.9,42.44886,51.520860000000006,80.68086
0.925,43.62813375,52.95213375000001,82.92213375
0.95,44.807415000000006,54.383415000000014,85.16341500000001
0.975,45.986703750000004,55.814703750000014,87.40470375000002
1.0,47.166,57.246,89.646
1.025,48.34530375000001,58.67730375000001,91.88730375000002
1.05,49.524615000000004,60.10861500000001,94.128615
1.075,50.70393375,61.53993375,96.36993375
1.1,51.88326000000001,62.97126000000001,98.61126000000002
1.125,53.06259375,64.40259375000001,100.85259375000001
1.15,54.24193500000001,65.83393500000003,103.09393500000002
1.175,55.42128375,67.26528375000001,105.33528375
1.2,56.60064000000001,68.69664000000003,107.57664000000001
1.225,57.78000375,70.12800375,109.81800375
1.25,58.959375,71.559375,112.05937499999999
1.275,60.138753750000014,72.99075375000002,114.30075375000001
1.3,61.31814,74.42214000000001,116.54214
1.325,62.49753375000001,75.85353375000003,118.78353375000002
1.35,63.676935,77.284935,121.02493499999999
1.375,64.85634375,78.71634375000001,123.26634374999999
1.4,66.03576000000001,80.14776000000003,125.50776000000002
1.425,67.21518375000001,81.57918375000001,127.74918374999999
1.45,68.394615,83.01061500000002,129.99061500000002
1.475,69.57405374999999,84.44205375,132.23205375
1.5,70.7535,85.8735,134.4735
1.525,71.93295375000001,87.30495375000002,136.71495375000003
1.55,73.112415,88.73641500000001,138.95641500000002
1.575,74.29188375000001,90.16788375000003,141.19788375000002
1.6,75.47135999999999,91.59936,143.43936
1.625,76.65084374999999,93.03084375,145.68084375
1.65,77.83033500000002,94.46233500000002,147.922335
1.675,79.00983375,95.89383375,150.16383375
1.7,80.18934,97.32534000000003,152.40534000000002
1.725,81.36885375,98.75685375000002,154.64685375
1.75,82.54837500000001,100.18837500000001,156.888375
1.775,83.72790375000001,101.61990375000003,159.12990375
1.8,84.90744000000001,103.05144000000001,161.37144
1.825,86.08698375000002,104.48298375000003,163.61298375
1.85,87.266535,105.91453500000001,165.854535
1.875,88.44609375,107.34609375000001,168.09609375
1.9,89.62566000000001,108.77766000000003,170.33766000000003
1.925,90.80523375,110.20923375000001,172.57923375000001
1.95,91.98481500000001,111.64081500000003,174.820815
1.975,93.16440374999999,113.07240375,177.06240375000002
2.0,94.344,114.504,179.304
2.025,95.52360374999999,115.93560375,181.54560375
2.05,96.70321500000001,117.36721500000002,183.787215
2.075,97.88283375,118.79883375000003,186.02883375000005
2.1,99.06246,120.23046000000001,188.27046
2.125,100.24209375,121.66209375000001,190.51209375
2.15,101.421735,123.093735,192.753735
2.175,102.60138375000001,124.52538375000003,194.99538375000003
2.2,103.78104000000002,125.95704,197.23704
2.225,104.96070375000001,127.38870375000002,199.47870375
2.25,106.140375,128.82037499999998,201.720375
2.275,107.32005375000001,130.25205375000002,203.96205375
2.3,108.49974000000003,131.68374000000003,206.20374
2.325,109.67943375,133.11543375,208.44543375
2.35,110.859135,134.547135,210.687135
2.375,112.03884375,135.97884375,212.92884375
2.4,113.21856000000004,137.41056000000006,215.17056000000002
2.425,114.39828375000003,138.84228375000004,217.41228375000003
2.45,115.57801500000001,140.274015,219.654015
2.475,116.75775374999999,141.70575375,221.89575375
2.5,117.9375,143.13750000000002,224.13750000000002
2.525,119.11725375000003,144.56925375000006,226.37925375000003
2.55,120.29701500000002,146.00101500000005,228.62101500000003
2.575,121.47678375000001,147.43278375,230.86278375
2.6,122.65656,148.86456,233.10456000000002
2.625,123.83634375,150.29634375,235.34634375
2.65,125.01613500000002,151.72813500000007,237.58813500000002
2.675,126.19593375000002,153.15993375000002,239.82993375000004
2.7,127.37574,154.59174000000002,242.07174
2.725,128.55555375,156.02355375000002,244.31355374999998
2.75,129.735375,157.455375,246.555375
2.775,130.91520375000002,158.88720375000003,248.79720375000005
2.8,132.09504000000004,160.31904000000006,251.03904000000006
2.825,133.27488375000001,161.75088375,253.28088374999996
2.85,134.454735,163.182735,255.522735
2.875,135.63459375000002,164.61459375000004,257.76459374999996
2.9,136.81446000000003,166.04646000000005,260.00646000000006
2.925,137.99433375000004,167.47833375000002,262.24833375000003
2.95,139.17421499999998,168.910215,264.490215
2.975,140.35410375,170.34210375000004,266.73210374999996
3.0,141.534,171.774,268.974
3.025,142.71390375000004,173.20590375000003,271.21590375
3.05,143.89381500000002,174.63781500000005,273.45781500000004
3.075,145.07373375,176.06973375,275.69973374999995
3.1,146.25366,177.50166000000002,277.94166
3.125,147.43359375,178.93359375000003,280.18359375
3.15,148.613535,180.36553500000005,282.4255350000001
3.175,149.79348375000004,181.79748375000003,284.66748375000003
3.2,150.97343999999998,183.22944,286.90944
3.225,152.15340375,184.66140375000003,289.15140375
3.25,153.333375,186.093375,291.393375
3.275,154.51335375000005,187.52535375000005,293.63535375000004
3.3,155.69334000000003,188.95734000000004,295.87734000000006
3.325,156.87333375,190.38933375,298.11933374999995
3.35,158.053335,191.821335,300.361335
3.375,159.23334375000002,193.25334375000003,302.60334374999996
3.4,160.41336000000004,194.68536000000006,304.84536
3.425,161.59338375000002,196.11738375000002,307.0873837500001
3.45,162.773415,197.549415,309.32941500000004
3.475,163.95345375000002,198.98145375000004,311.57145375
3.5,165.1335,200.4135,313.81350000000003
3.525,166.31355375000004,201.84555375000005,316.05555375000006
3.55,167.49361500000003,203.27761500000005,318.29761500000006
3.575,168.67368375,204.70968375000004,320.53968375
3.6,169.85376000000002,206.14176000000003,322.78176
3.625,171.03384375000002,207.57384375,325.02384374999997
3.65,172.21393500000002,209.00593500000005,327.26593500000007
3.675,173.39403375000003,210.43803375000005,329.50803375000004
3.7,174.57414,211.87014000000002,331.75014000000004
3.725,175.75425375000003,213.30225375000003,333.99225375
3.75,176.934375,214.734375,336.23437500000006
3.775,178.11450375000004,216.16650375000003,338.47650375000006
3.8,179.29464000000004,217.59864000000005,340.71864000000005
3.825,180.47478375000003,219.03078375000004,342.96078374999996
3.85,181.654935,220.46293500000002,345.202935
3.875,182.83509375,221.89509375,347.44509374999996
3.9,184.01526,223.32726000000005,349.6872600000001
3.925,185.19543375000006,224.75943375000006,351.92943375000004
3.95,186.375615,226.191615,354.171615
3.975,187.55580375000002,227.62380375000004,356.41380374999994
4.0,188.736,229.056,358.656
4.025,189.91620375000005,230.48820375000005,360.89820375000005
4.05,191.096415,231.92041500000002,363.14041499999996
4.075,192.27663375000003,233.35263375000002,365.38263374999997
4.1,193.45686000000003,234.78486000000004,367.62486000000007
4.125,194.63709375000002,236.21709375000003,369.86709375
4.15,195.81733500000004,237.64933500000006,372.10933500000004
4.175,196.99758375000002,239.08158375,374.35158375
4.2,198.17784,240.51384000000004,376.59384
4.225,199.35810375000003,241.94610375000005,378.83610375000006
4.25,200.538375,243.37837500000003,381.078375
4.275,201.71865375000004,244.81065375000006,383.32065375
4.3,202.89893999999998,246.24293999999998,385.56293999999997
4.325,204.07923375000001,247.67523375,387.80523374999996
4.35,205.25953500000003,249.10753500000004,390.04753500000004
4.375,206.43984375,250.53984375000002,392.28984375
4.4,207.62016000000003,251.97216000000006,394.5321600000001
4.425,208.80048375,253.40448375000003,396.77448374999994
4.45,209.980815,254.83681500000006,399.016815
4.475,211.16115375,256.26915375000004,401.25915375
4.5,212.3415,257.7015,403.5015
4.525,213.52185375000002,259.13385375000007,405.74385375
4.55,214.702215,260.56621500000006,407.986215
4.575,215.88258375000004,261.99858375,410.22858375
4.6,217.06296000000006,263.43096000000014,412.4709600000001
4.625,218.24334375,264.86334375,414.71334375
4.65,219.42373500000002,266.295735,416.955735
4.675,220.60413375000002,267.72813375,419.19813374999995
4.7,221.78454,269.16054,421.44054
4.725,222.96495375000006,270.5929537500001,423.6829537500001
4.75,224.145375,272.02537500000005,425.92537500000003
4.775,225.32580375,273.4578037500001,428.16780375
4.8,226.50624000000005,274.8902400000001,430.4102400000001
4.825,227.68668375,276.32268375,432.65268375
4.85,228.86713500000005,277.75513500000005,434.89513500000004
4.875,230.04759375,279.18759375,437.13759375
4.9,231.22806000000003,280.62006,439.38006
4.925,232.40853375000006,282.05253375000007,441.62253375000006
4.95,233.58901500000002,283.48501500000003,443.86501499999997
4.975,234.76950375000007,284.9175037500001,446.1075037500001
5.0,235.95000000000002,286.35,448.35
5.025,237.13050374999997,287.78250375,450.59250375
5.05,238.31101500000005,289.21501500000005,452.83501500000006
5.075,239.49153375,290.64753375000004,455.07753375
5.1,240.67206000000004,292.0800600000001,457.32006000000007
5.125,241.85259375,293.51259375000006,459.56259374999996
5.15,243.03313500000002,294.945135,461.805135
5.175,244.21368375000003,296.3776837500001,464.0476837500001
5.2,245.39423999999997,297.81024,466.29024
5.225,246.57480375000006,299.24280375000006,468.5328037500001
5.25,247.755375,300.67537500000003,470.775375
5.275,248.93595375,302.1079537500001,473.01795375
5.3,250.11654000000001,303.5405400000001,475.26054000000005
5.325,251.29713375000003,304.97313375000004,477.50313375
5.35,252.47773500000002,306.40573500000005,479.745735
5.375,253.65834375,307.83834375000004,481.98834375
5.4,254.83895999999996,309.27096,484.23096000000004
5.425,256.0195837500001,310.7035837500001,486.47358375000005
5.45,257.200215,312.13621500000005,488.7162149999999
5.475,258.3808537500001,313.56885375000013,490.9588537500001
5.5,259.56149999999997,315.00149999999996,493.2015
5.525,260.74215375000006,316.43415375000006,495.44415375000005
5.55,261.92281500000007,317.8668150000001,497.686815
5.575,263.10348374999995,319.29948375000004,499.92948375000003
5.6,264.28416000000004,320.7321600000001,502.1721600000002
5.625,265.46484375,322.16484375000005,504.4148437500001
5.65,266.64553500000005,323.597535,506.65753499999994
5.675,267.8262337500001,325.0302337500001,508.90023375000004
5.7,269.00694,326.46294,511.14293999999995
5.725,270.1876537500001,327.8956537500001,513.38565375
5.75,271.368375,329.32837500000005,515.628375
5.775,272.54910375,330.76110375,517.87110375
5.8,273.7298400000001,332.19384000000014,520.1138400000001
5.825,274.91058375000006,333.62658375,522.35658375
5.85,276.0913350000001,335.05933500000003,524.599335
5.875,277.27209375,336.49209375000004,526.84209375
5.9,278.45286,337.92486,529.0848599999999
5.925,279.6336337500001,339.3576337500001,531.32763375
5.95,280.814415,340.79041500000005,533.570415
5.975,281.99520375000003,342.2232037500001,535.8132037500001
6.0,283.176,343.656,538.056
