saat,ana_ns,filtre_ns
0.001,0.06480286800053,0.0
0.0211,1.3649239060513294,0.0
0.0411,2.6650496666563104,0.0
0.0612,3.965180023812842,0.0
0.0813,5.265315139520755,0.0
0.1013,6.5654551037809314,0.0
0.1214,7.865599862592362,0.0
0.1414,9.165749469956058,0.0
0.1615,10.465903871870607,0.0
0.1816,11.766063140338025,0.0
0.2016,13.066227203356028,0.0
0.2217,14.366396132927168,0.0
0.2418,15.666569893050237,0.0
0.2618,16.966748447723493,0.0
0.2819,18.26693185094934,0.0
0.302,19.567120084726994,0.0
0.322,20.86731318505858,0.0
0.3421,22.16751106193881,0.0
0.3621,23.467713805373116,0.0
0.3822,24.7679213433568,0.0
0.4023,26.068133747894827,0.0
0.4223,27.368350946981966,0.0
0.4424,28.668573012623714,0.0
0.4625,29.96879987281431,0.0
0.4825,31.269031581558178,0.0
0.5026,32.56926813885551,0.0
0.5227,33.86950950870303,0.0
0.5427,35.169755727104146,0.0
0.5628,36.47000683006283,0.0
0.5828,37.77026272756996,0.0
0.6029,39.070523365619096,0.0
0.623,40.37078887022377,0.0
0.643,41.67105918737798,0.0
0.6631,42.97133435308591,0.0
0.6832,44.27161433134324,0.0
0.7032,45.57189915815442,0.0
0.7233,46.872188815517276,0.0
0.7434,48.172483285429315,0.0
0.7634,49.47278260389542,0.0
0.7835,50.773086734910585,0.0
0.8035,52.073395714479936,0.0
0.8236,53.37370950659822,0.0
0.8437,54.674028129268024,0.0
0.8637,55.97435158248935,0.0
0.8838,57.274679884265154,0.0
0.9039,58.57501299858961,0.0
0.9239,59.875350943465584,0.0
0.944,61.17569371889309,0.0
0.9641,62.476041342875334,0.0
0.9841,63.77639381541253,0.0
1.0042,65.07675108249481,0.0
1.0242,66.37711319813204,0.0
1.0443,67.67748012631745,0.0
1.0644,68.97785190305792,0.0
1.0844,70.27822851035006,0.0
1.1045,71.57860994819387,0.0
1.1246,72.8789961985856,0.0
1.1446,74.17938729753267,0.0
1.1647,75.47978322703136,0.0
1.1847,76.78018398708176,0.0
1.2048,78.0805895776838,0.0
1.2249,79.3809999808334,0.0
1.2449,80.6814152325387,0.0
1.265,81.98183529679143,0.0
1.2851,83.2822602096,0.0
1.3051,84.58268993495584,0.0
1.3252,85.88312450886764,0.0
1.3453,87.18356389532663,0.0
1.3653,88.48400813034169,0.0
1.3854,89.78445717790378,0.0
1.4054,91.0849110740221,0.0
1.4255,92.38536978268732,0.0
1.4456,93.6858333399089,0.0
1.4656,94.98630172768212,0.0
1.4857,96.28677492800205,0.0
1.5058,97.58725297687855,0.0
1.5258,98.8877358383016,0.0
1.5459,100.1882235662865,0.0
1.566,101.48872075216468,0.0
1.586,102.78921819528621,0.0
1.6061,104.08972039693852,0.0
1.6261,105.39022742914248,0.0
1.6462,106.69073927389263,0.0
1.6663,107.99125596719986,0.0
1.6863,109.29177747305312,0.0
1.7064,110.5923038094579,0.0
1.7265,111.89283499441997,0.0
1.7465,113.19337099192789,0.0
1.7666,114.49391183799321,0.0
1.7867,115.79445749660424,0.0
1.8067,117.09500800377282,0.0
1.8268,118.39556332348698,0.0
1.8468,119.69612349175881,0.0
1.8669,120.9966884905823,0.0
1.887,122.29725831995746,0.0
1.907,123.59783296187793,0.0
1.9271,124.89841245235635,0.0
1.9472,126.19899677338641,0.0
1.9672,127.49958590696158,0.0
1.9873,128.80017988909492,0.0
2.0074,130.1007786837732,0.0
2.0274,131.40138232700977,0.0
2.0475,132.7019907827912,0.0
2.0675,134.00260408713103,0.0
2.0876,135.30322220401558,0.0
2.1077,136.60384516945865,0.0
2.1277,137.9044729654534,0.0
2.1478,139.20510559199985,0.0
2.1679,140.50574303109067,0.0
2.1879,141.8063853187403,0.0
2.208,143.10703243694164,0.0
2.2281,144.4076843676872,0.0
2.2481,145.7083411469918,0.0
2.2682,147.00900273884048,0.0
2.2882,148.30966917924832,0.0
2.3083,149.61034041419242,0.0
2.3284,150.91101651570347,0.0
2.3484,152.2116974297583,0.0
2.3685,153.5123831923726,0.0
2.3886,154.81307376753054,0.0
2.4086,156.1137691912481,0.0
2.4287,157.41446946352536,0.0
2.4488,158.71517453033812,0.0
2.4688,160.01588444571067,0.0
2.4889,161.31659915561823,0.0
2.5089,162.61731875010227,0.0
2.529,163.91804315712972,0.0
2.5491,165.21877239470882,0.0
2.5691,166.519506444831,0.0
2.5892,167.82024536152198,0.0
2.6093,169.12098907274734,0.0
2.6293,170.42173763253305,0.0
2.6494,171.72249102287034,0.0
2.6695,173.02324922575045,0.0
2.6895,174.324012277191,0.0
2.7096,175.62478014117423,0.0
2.7296,176.92555285371807,0.0
2.7497,178.2263303788044,0.0
2.7698,179.52711275245147,0.0
2.7898,180.82789993864094,0.0
2.8099,182.1286919553819,0.0
2.83,183.42948880267443,0.0
2.85,184.73029049852795,0.0
2.8701,186.03109700692355,0.0
2.8902,187.33190836388036,0.0
2.9102,188.63272455138883,0.0
2.9303,189.93354555143912,0.0
2.9503,191.2343717422377,0.0
2.9704,192.53520240339245,0.0
2.9905,193.83603793111865,0.0
3.0105,195.1368782893966,0.0
3.0306,196.4377234602163,0.0
3.0507,197.73857346158763,0.0
3.0707,199.03942829351067,0.0
3.0908,200.340287937975,0.0
3.1108,201.64115243100127,0.0
3.1309,202.94202175457917,0.0
3.151,204.2428958906983,0.0
3.171,205.54377489339,0.0
3.1911,206.84465869061225,0.0
3.2112,208.14554733639676,0.0
3.2312,209.44644079472215,0.0
3.2513,210.7473391016099,0.0
3.2714,212.0482422210384,0.0
3.2914,213.34915018902942,0.0
3.3115,214.650062969561,0.0
3.3315,215.9509805986553,0.0
3.3516,217.25190304029002,0.0
3.3717,218.55283033048755,0.0
3.3917,219.85376245123672,0.0
3.4118,221.1546993845262,0.0
3.4319,222.45564114836716,0.0
3.4519,223.7565877607712,0.0
3.472,225.05753922173844,0.0
3.4921,226.35849547723424,0.0
3.5121,227.65945656328148,0.0
3.5322,228.96042247988035,0.0
3.5522,230.2613932450425,0.0
3.5723,231.56236882274447,0.0
3.5924,232.8633492490099,0.0
3.6124,234.16433452383907,0.0
3.6325,235.46532459319576,0.0
3.6526,236.76631951111622,0.0
3.6726,238.06731924157606,0.0
3.6927,239.36832382059976,0.0
