saat,health,bit10_holdover,bit4_faz
3.8199,20,1,1
3.8349,20,1,1
3.85,20,1,1
3.865,20,1,1
3.8801,20,1,1
3.8951,20,1,1
3.9101,20,1,1
3.9252,20,1,1
3.9402,20,1,1
3.9552,20,1,1
3.9703,20,1,1
3.9853,20,1,1
4.0003,20,1,1
4.0154,20,1,1
4.0304,20,1,1
4.0454,20,1,1
4.0605,20,1,1
4.0755,20,1,1
4.0905,20,1,1
4.1056,20,1,1
4.1206,20,1,1
4.1356,20,1,1
4.1507,20,1,1
4.1657,20,1,1
4.1808,20,1,1
4.1958,20,1,1
4.2108,20,1,1
4.2259,20,1,1
4.2409,20,1,1
4.2559,20,1,1
4.271,20,1,1
4.286,20,1,1
4.301,20,1,1
4.3161,20,1,1
4.3311,20,1,1
4.3461,20,1,1
4.3612,20,1,1
4.3762,20,1,1
4.3912,20,1,1
4.4063,20,1,1
4.4213,20,1,1
4.4364,20,1,1
4.4514,20,1,1
4.4664,20,1,1
4.4815,20,1,1
4.4965,20,1,1
4.5115,20,1,1
4.5266,20,1,1
4.5416,20,1,1
4.5566,20,1,1
4.5717,20,1,1
4.5867,20,1,1
4.6017,20,1,1
4.6168,20,1,1
4.6318,20,1,1
4.6468,20,1,1
4.6619,20,1,1
4.6769,20,1,1
4.6919,20,1,1
4.707,20,1,1
4.722,20,1,1
4.7371,20,1,1
4.7521,20,1,1
4.7671,20,1,1
4.7822,20,1,1
4.7972,20,1,1
4.8122,20,1,1
4.8273,20,1,1
4.8423,20,1,1
4.8573,20,1,1
4.8724,20,1,1
4.8874,20,1,1
4.9024,20,1,1
4.9175,20,1,1
4.9325,20,1,1
4.9475,20,1,1
4.9626,20,1,1
4.9776,20,1,1
4.9926,20,1,1
5.0077,20,1,1
5.0227,20,1,1
5.0378,20,1,1
5.0528,20,1,1
5.0678,20,1,1
5.0829,20,1,1
5.0979,20,1,1
5.1129,20,1,1
5.128,20,1,1
5.143,20,1,1
5.158,20,1,1
5.1731,20,1,1
5.1881,20,1,1
5.2031,20,1,1
5.2182,20,1,1
5.2332,20,1,1
5.2482,20,1,1
5.2633,20,1,1
5.2783,20,1,1
5.2934,20,1,1
5.3084,20,1,1
5.3234,20,1,1
5.3385,20,1,1
5.3535,20,1,1
5.3685,20,1,1
5.3836,20,1,1
5.3986,20,1,1
5.4136,20,1,1
5.4287,20,1,1
5.4437,20,1,1
5.4587,20,1,1
5.4738,20,1,1
5.4888,20,1,1
5.5038,20,1,1
5.5189,20,1,1
5.5339,20,1,1
5.5489,20,1,1
5.564,20,1,1
5.579,20,1,1
5.5941,20,1,1
5.6091,20,1,1
5.6241,20,1,1
5.6392,20,1,1
